Rewards: 1468, total: 1143254
Rewards: 1262, total: 1144516
Rewards: 1748, total: 1146264
Rewards: 1280, total: 1147544
Rewards: 1521, total: 1149065
Rewards: 1119, total: 1150184
Rewards: 1458, total: 1151642
Rewards: 1931, total: 1153573
Rewards: 1096, total: 1154669
Rewards: 1259, total: 1155928
Rewards: 1526, total: 1157454
Rewards: 1748, total: 1159202
Rewards: 1484, total: 1160686
Rewards: 1817, total: 1162503
Rewards: 1713, total: 1164216
Rewards: 981, total: 1165197
Rewards: 1659, total: 1166856
Rewards: 1779, total: 1168635
Rewards: 971, total: 1169606
Rewards: 654, total: 1170260
Rewards: 2239, total: 1172499
Rewards: 1408, total: 1173907
Rewards: 1919, total: 1175826
Rewards: 2329, total: 1178155
Rewards: 1941, total: 1180096
Rewards: 1753, total: 1181849
Rewards: 1737, total: 1183586
Rewards: 1538, total: 1185124
Rewards: 1256, total: 1186380
Rewards: 2289, total: 1188669
Rewards: 1279, total: 1189948
Rewards: 1245, total: 1191193
Rewards: 1695, total: 1192888
Rewards: 2276, total: 1195164
Rewards: 1996, total: 1197160
Rewards: 2065, total: 1199225
Rewards: 1812, total: 1201037
Rewards: 1081, total: 1202118
Rewards: 1782, total: 1203900
Rewards: 1728, total: 1205628
Rewards: 2194, total: 1207822
Rewards: 1012, total: 1208834
Rewards: 1740, total: 1210574
Rewards: 1976, total: 1212550
Rewards: 1348, total: 1213898
Rewards: 2283, total: 1216181
Rewards: 1182, total: 1217363
Rewards: 1525, total: 1218888
Rewards: 1483, total: 1220371
Rewards: 604, total: 1220975
Rewards: 2114, total: 1223089
Rewards: 2410, total: 1225499
Rewards: 1928, total: 1227427
Rewards: 723, total: 1228150
Rewards: 1307, total: 1229457
Rewards: 1828, total: 1231285
Rewards: 1449, total: 1232734
Rewards: 1684, total: 1234418
Rewards: 1042, total: 1235460
Rewards: 1286, total: 1236746
Rewards: 1223, total: 1237969
Rewards: 2321, total: 1240290
Rewards: 2292, total: 1242582
Rewards: 1213, total: 1243795
Rewards: 2065, total: 1245860
Rewards: 1530, total: 1247390
Rewards: 1556, total: 1248946
Rewards: 1783, total: 1250729
Rewards: 2147, total: 1252876
Rewards: 1238, total: 1254114
Rewards: 1496, total: 1255610
Rewards: 1791, total: 1257401
Rewards: 1293, total: 1258694
Rewards: 1474, total: 1260168
Rewards: 1277, total: 1261445
Rewards: 2168, total: 1263613
Rewards: 1654, total: 1265267
Rewards: 1979, total: 1267246
Rewards: 1765, total: 1269011
Rewards: 1112, total: 1270123
Rewards: 1999, total: 1272122
Rewards: 1142, total: 1273264
Rewards: 1746, total: 1275010
Rewards: 1546, total: 1276556
Rewards: 1497, total: 1278053
Rewards: 1251, total: 1279304
Rewards: 1781, total: 1281085
Rewards: 1756, total: 1282841
Rewards: 1755, total: 1284596
Rewards: 1503, total: 1286099
Rewards: 1298, total: 1287397
Rewards: 941, total: 1288338
Rewards: 929, total: 1289267
Rewards: 1460, total: 1290727
Rewards: 1195, total: 1291922
Rewards: 1991, total: 1293913
Rewards: 1262, total: 1295175
Rewards: 1689, total: 1296864
Rewards: 1752, total: 1298616
Rewards: 2345, total: 1300961
Rewards: 1675, total: 1302636
Rewards: 2231, total: 1304867
Rewards: 1446, total: 1306313
Rewards: 689, total: 1307002
Rewards: 1915, total: 1308917
Rewards: 1741, total: 1310658
Rewards: 1555, total: 1312213
Rewards: 1706, total: 1313919
Rewards: 1533, total: 1315452
Rewards: 1006, total: 1316458
Rewards: 2008, total: 1318466
Rewards: 1459, total: 1319925
Rewards: 1776, total: 1321701
Rewards: 1016, total: 1322717
Rewards: 1773, total: 1324490
Rewards: 902, total: 1325392
Rewards: 1268, total: 1326660
Rewards: 773, total: 1327433
Rewards: 1251, total: 1328684
Rewards: 1775, total: 1330459
Rewards: 1597, total: 1332056
Rewards: 1081, total: 1333137
Rewards: 780, total: 1333917
Rewards: 1489, total: 1335406
Rewards: 1531, total: 1336937
Rewards: 2062, total: 1338999
Rewards: 1486, total: 1340485
